, ,url,title,summary,claimant,verdict,party,topic,sub category,date_published,creator,publisher,license_type,copyright,verdict_simplified,date,number_articles_newsbank
24,4924562.0,https://www.abc.net.au/news/4924562,Penny Wong selective in jobs attack on Coalition,"Finance Minister Penny Wong claims there is a $2.4 billion hole in the Coalition's costing of its plan to shed 12,000 public service jobs.  ",Penny Wong,Cherrypicking,Labor,Budget(s),,"Lexile: 1350, grade level(s): >12",RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,,12
25,4925242.0,https://www.abc.net.au/news/4925242,Labor Party ad overreaches on Coalition school funding cuts,An education advertisement released by the Federal Government claims every school in Australia will be affected by cuts planned by Opposition Leader Tony Abbott.,Labor,Overreach,Labor,Education,,Mon Sep 02 10:25:22 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-02 10:25:22,0
26,4928548.0,https://www.abc.net.au/news/4928548,"Peter Dutton oversimplifies increase in elective surgery, GP waiting times","Opposition health spokesman Peter Dutton claims that under the Labor Government, Australians are waiting longer to see their GP and waiting longer for elective surgery. ",Peter Dutton,Oversimplified,Liberal,Health,,Tue Sep 03 17:42:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-03 17:42:38,0
27,4929108.0,https://www.abc.net.au/news/4929108,"Oversimplified: '80,000 charity workers' would be affected by FBT changes",Two industry associations claim tens of thousands of charity workers would be affected by Labor's proposed changes to the way Fringe Benefits Tax can be calculated for salary sacrificed cars.,ASPIA,Oversimplified,Other,Employment,,Wed Sep 04 12:47:05 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-04 12:47:05,0
28,4931974.0,https://www.abc.net.au/news/4931974,Fact Check: Greens Senator Scott Ludlam exaggerates rent increases,"Greens Senator Scott Ludlam claims rental prices have doubled across the country and tripled in the ACT, Queensland and WA since 2000.",Scott Ludlam,Exaggeration,Greens,Economy,Housing,Thu Sep 05 10:19:34 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-05 10:19:34,0
29,4932488.0,https://www.abc.net.au/news/4932488,Kevin Rudd takes car subsidy figures out of context,"Prime Minister Kevin Rudd says Australia's assistance to the car manufacturing industry is one of the lowest in the world. He claims car industry assistance is $18 per head per year in Australia, $90 in the United States and $96 in Germany.",Kevin Rudd,Out of context,Labor,Transport,Automotive,Fri Sep 06 17:56:51 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-06 17:56:51,0
30,4934162.0,https://www.abc.net.au/news/4934162,Kevin Rudd correct on Paul's references to slavery in the Bible,"Prime Minister Kevin Rudd claims St Paul said in the New Testament, 'slaves be obedient to your masters'.",Kevin Rudd,Correct,Labor,Social Issues,"Religion, same-sex marriage",Fri Sep 06 14:35:23 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-06 14:35:23,0
31,4935372.0,https://www.abc.net.au/news/4935372,Scott Morrison correct on 'illegal entry' of people without a visa,"Opposition immigration spokesman Scott Morrison claims people illegally enter Australia when they arrive without a valid visa, and that the term 'illegal entry' is used in international conventions.",Scott Morrison,Correct,Liberal,Immigration,Asylum Seekers,Fri Sep 06 09:09:32 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-06 09:09:32,0
32,4935500.0,https://www.abc.net.au/news/4935500,Christopher Pyne exaggerates trade training centre rollout figures,"Opposition education spokesman Christopher Pyne claims the Government has built only 230 trade training centres of the 2,650 promised by Kevin Rudd in 2007.",Christopher Pyne,Exaggeration,Liberal,Budget(s),,Thu Sep 05 15:53:29 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-05 15:53:29,0
33,4938932.0,https://www.abc.net.au/news/4938932,Christine Milne in the ballpark on cost of Coalition's Nauru tent city,Greens leader Christine Milne claims the Coalition's 'tent city' on Nauru will cost $1.9 billion over four years.,Christine Milne,In the ballpark,Greens,Immigration,Nauru,Fri Sep 06 18:51:20 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-06 18:51:20,0
34,4948390.0,https://www.abc.net.au/news/4948390,Threat to the survival of local pharmacies exaggerated,The Pharmacy Guild of Australia claims that bringing forward reductions in the prices of prescription medicines will threaten the survival of local pharmacies. ,Pharmacy Guild of Australia,Exaggeration,Other,Health,,Tue Sep 17 14:36:51 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-17 14:36:51,2
35,4948644.0,https://www.abc.net.au/news/4948644,"Rupert Murdoch's public sector pay, sick leave tweet checks out",News Corporation's executive chairman Rupert Murdoch claims public workers in Australia earn more and take many more sick days than their private sector counterparts.,Mr Murdoch,Checks Out,Other,Employment,,Tue Sep 10 18:38:19 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-10 18:38:19,0
36,4949042.0,https://www.abc.net.au/news/4949042,"Tim Costello's claim foreign aid cuts will cost 450,000 lives is not credible","The Coalition's proposed $4.5 billion cuts to foreign aid will result in the loss of 450,000 lives, World Vision Australia chief executive officer Tim Costello claims.",Tim Costello,Figure not credible,Other,Budget(s),Foreign Aid Cuts,Thu Sep 12 17:44:25 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-09-12 17:44:25,0
37,4951312.0,https://www.abc.net.au/news/4951312,Clive Palmer's economic stimulus claim improbable,Federal MP and businessman Clive Palmer claims the economy would be better off if Australian companies were not forced to pay tax in instalments.,Clive Palmer,Improbable,Independent,Economy,Palmer United Party,Mon Sep 16 17:42:18 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-09-16 17:42:18,0
38,4951502.0,https://www.abc.net.au/news/4951502,Syrian president Bashar al-Assad's sarin gas claim implausible,"Syrian president Bashar al-Assad claims sarin is a primitive gas that can be made in a backyard, and could have been used by rebels in the suspected chemical attack in Damascus on August 2013.",Bashar al-Assad,Implausible,Other,Foreign_Relations,Terrorism,2013-07-03 00:00:00,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-07-03 00:00:00,0
39,4961132.0,https://www.abc.net.au/news/4961132,Julia Gillard's 'carbon tax' regrets debatable,"Julia Gillard claims her decision not to argue against a fixed carbon price being labelled a ""tax"" hurt her politically.",Julia Gillard,Debatable,Labor,Environment,Carbon Tax,"Age, The (Melbourne, Australia)",RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,,0
40,4963228.0,https://www.abc.net.au/news/4963228,Ita Buttrose correct: Glass ceiling still exists in Australia,Australian of the Year Ita Buttrose claims the lack of women in Prime Minister Tony Abbott's cabinet shows the glass ceiling still exists in Australia and that women are yet to break through it.,Ita Buttrose,Correct,Other,Gender,Equal Opportunities,Page 18,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,,0
41,4965854.0,https://www.abc.net.au/news/4965854,Greens Senator Rachel Siewert's foreign ownership claim overstated,Greens Senator Rachel Siewert claims China and the US would not allow a foreign government to buy 1 million hectares of land.,Rachel Siewert,Overstated,Greens,Foreign Affairs,Foreign ownership of land,"Lexile: 1350, grade level(s): >12",RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,,0
42,4966426.0,https://www.abc.net.au/news/4966426,"Rudd, Abbott, Palmer's ad spending claims pure campaign spin ","ALP leader Kevin Rudd, Coalition leader Tony Abbott and Palmer United Party leader Clive Palmer all accuse each other of attempting to win the election with massive spending on advertising. Are their claims correct?","Kevin Rudd, Tony Abbott, Clive Palmer",Unsubstantiated,Multiple_Parties,Politics,Election Spending,Fri Sep 20 17:21:59 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-09-20 17:21:59,0
43,4969228.0,https://www.abc.net.au/news/4969228,Concern Australian bank lending 'exceptionally high' is overblown,Investment strategist Paul Schulte claims Australian banks are lending too much money.,Paul Schulte,Overblown,Industry,Economy,Bank lending,Fri Sep 20 11:30:14 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-20 11:30:14,0
44,4977164.0,https://www.abc.net.au/news/4977164,Are the big chains' discount vouchers forcing small petrol stations out of business?,Newspaper advertisements placed by Independent retailers claim unsubsidised petrol stations cannot compete if discounts offered by supermarket chains go above 6 or 7 cents per litre.,Tony Abbott,Not the full story,Liberal,Economy,Fuel price,Wed Sep 25 19:06:45 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-25 19:06:45,0
45,4979898.0,https://www.abc.net.au/news/4979898,Is it illegal to turn back boats in international waters to Indonesia?,Indonesian politician Tantowi Yahya claims it is illegal for Australia to turn back asylum seeker boats in international waters.,Tantowi Yahya,"Yes, but more to it",Other,Immigration,Asylum seekers,Thu Sep 26 18:10:39 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-26 18:10:39,7
46,4980952.0,https://www.abc.net.au/news/4980952,Will New South Wales run short of gas by 2016?,Federal Industry Minister Ian Macfarlane claims gas supply problems are looming in NSW because there has been insufficient progress in developing its coal seam gas industry.,Ian Macfarlane,Unverifiable,Liberal,Infrastructure,Energy,Mon Sep 30 08:48:40 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,,2013-09-30 08:48:40,0
47,4983476.0,https://www.abc.net.au/news/4983476,AFL the big winner from decade of investment in sporting infrastructure,"Former Victorian premier and president of AFL club Hawthorn, Jeff Kennett, claims AFL CEO Andrew Demetriou secured hundreds of millions of dollars for ground upgrades, giving the game supremacy over other codes.",Jeff Kennett,Correct,Industry,Funding,AFL government funding,Fri Sep 27 16:42:14 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-27 16:42:14,0
48,4989750.0,https://www.abc.net.au/news/4989750,What Greg Hunt didn't say about the carbon price and emissions,New federal Environment Minister Greg Hunt claims emissions increased from 560 to 637 million tonnes under the carbon price.,Greg Hunt,Misleading,Liberal,Environment,Carbon Price,Tue Oct 01 18:21:01 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-10-01 18:21:01,0
49,4993930.0,https://www.abc.net.au/news/4993930,Do Australians waste $8 billion worth of edible food each year?,"FoodWise, a national campaign run by not-for-profit group DoSomething, says Australians throw out $8 billion worth of edible food every year.",FoodWise,Stacks up,Industry,Environment,Food waste,Tue Oct 08 17:45:24 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-10-08 17:45:24,0
50,4994330.0,https://www.abc.net.au/news/4994330,Christopher Pyne exaggerates Labor's international student 'failure',"Federal Education Minister, Christopher Pyne claims since 2008 Labor has shrunk the international student industry by about a quarter.",Christopher Pyne,Exaggeration,Liberal,Education,,Fri Oct 04 09:17:44 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-10-04 09:17:44,0
51,4994592.0,https://www.abc.net.au/news/4994592,Abbott splitting hairs on the difference between towing and turning back the boats,Prime Minister Tony Abbott claims there is a big between turning boats around in Australian waters and the Australian Navy towing them back to Indonesia.,Tony Abbott,Splitting hairs,Liberal,Immigration,Asylum Seekers,Thu Oct 10 08:52:45 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-10-10 08:52:45,0
52,4997304.0,https://www.abc.net.au/news/4997304,Greens' claims over Ferguson lobbying are in the ballpark,"Australian Greens' leader Christine Milne says former federal resources and energy minister Martin Ferguson's new jobs as group executive of natural resources for Seven Group Holdings and as chair to a petroleum industry advisory board, make a mockery of the lobbying code of conduct.",Christine Milne,In the ballpark,Greens,Politics,Political conduct,Mon Oct 07 16:20:16 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-10-07 16:20:16,0
