step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
147,820064,4704,0.015323506910106236,0.8125,0.8125,,,,,
148,826240,4736,0.014403941134807934,0.75,0.75,,,,,
149,831904,4768,0.012313680535151321,0.8125,0.8125,,,,,
150,837824,4800,0.017107750281104204,0.65625,0.65625,,,,,
151,843744,4832,0.01716317278929035,0.65625,0.65625,,,,,
152,849152,4864,0.01677107589674172,0.71875,0.71875,,,,,
153,855584,4896,0.01449204449204683,0.78125,0.78125,0.012923018582932062,0.78125,0.78125,,
154,861504,4928,0.01353617420604709,0.8125,0.8125,,,,,
155,867680,4960,0.016296810419536952,0.71875,0.71875,,,,,
156,872320,4992,0.01679367286566746,0.84375,0.84375,,,,,
157,877728,5024,0.018026714710721592,0.6875,0.6875,,,,,
158,882880,5056,0.014596622173470904,0.84375,0.84375,,,,,
159,887776,5088,0.015933705601282228,0.875,0.875,,,,,
160,893184,5120,0.012336417488067781,0.875,0.875,,,,,
161,899616,5152,0.015169659655033092,0.71875,0.71875,0.013542778277910533,0.8125,0.8125,,
162,905792,5184,0.011084557410891524,0.6875,0.6875,,,,,
163,912736,5216,0.014534934556532684,0.78125,0.78125,,,,,
164,919168,5248,0.012078363551064468,0.78125,0.78125,,,,,
165,924320,5280,0.013729168877986192,0.84375,0.84375,,,,,
166,929216,5312,0.01661291408617307,0.71875,0.71875,,,,,
167,934880,5344,0.015465395737758817,0.6875,0.6875,,,,,
168,940032,5376,0.014796687098424174,0.875,0.875,,,,,
169,945184,5408,0.017307186959276667,0.75,0.75,0.015872336605164385,0.6875,0.6875,,
170,949312,5440,0.01689304354219086,0.84375,0.84375,,,,,
171,956000,5472,0.011723348289681502,0.71875,0.71875,,,,,
172,960384,5504,0.01522164987782593,0.71875,0.71875,,,,,
173,966304,5536,0.014953869983500092,0.71875,0.71875,,,,,
174,971456,5568,0.014003233563004943,0.6875,0.6875,,,,,
175,977888,5600,0.012498132426443995,0.75,0.75,,,,,
176,984576,5632,0.01304270256979861,0.65625,0.65625,,,,,
177,990240,5664,0.014398694708613784,0.84375,0.84375,0.013995707387123453,0.71875,0.71875,,
